Id,y
50100,1.6343122
50101,2.1805022
50102,1.565902
50103,2.1780133
50104,1.6722293
50105,1.5759845
50106,2.11986
50107,2.1921134
50108,1.8918588
50109,2.0377512
50110,1.6202742
50111,1.8782022
50112,1.5157375
50113,1.5529486
50114,1.6221797
50115,1.9276681
50116,1.415117
50117,1.8789463
50118,1.9136438
50119,1.894974
50120,2.0764797
50121,2.0485492
50122,1.1973702
50123,2.0732577
50124,1.3303971
50125,1.9901049
50126,1.5669305
50127,1.9576111
50128,1.574135
50129,1.743006
50130,2.0615969
50131,2.0876908
50132,1.6703196
50133,1.6768527
50134,1.88578
50135,2.1413903
50136,1.7713513
50137,1.8781462
50138,1.6287796
50139,1.8788576
50140,2.051683
50141,2.5356092
50142,2.0220377
50143,1.7916613
50144,1.7235632
50145,2.0561724
50146,1.7729349
50147,2.4160008
50148,1.8317996
50149,1.8106103
50150,1.5365727
50151,1.5118402
50152,1.4237
50153,2.1567528
50154,1.9804274
50155,2.1546383
50156,1.7344099
50157,1.1411233
50158,2.3888538
50159,1.1909735
50160,1.7461742
50161,2.2980766
50162,2.3228297
50163,2.1712685
50164,1.5184814
50165,1.3262978
50166,1.3915222
50167,1.6423473
50168,1.7739317
50169,1.4424713
50170,2.0746412
50171,2.237906
50172,1.6069388
50173,2.1103594
50174,2.2937691
50175,1.6214997
50176,2.2944062
50177,2.3883307
50178,2.324014
50179,1.4908257
50180,2.3086126
50181,1.9637332
50182,2.2058287
50183,1.4985853
50184,2.3338609
50185,2.202333
50186,1.9501591
50187,2.526698
50188,2.3457823
50189,2.1663857
50190,2.303054
50191,1.9766936
50192,2.147904
50193,2.2168477
50194,1.7100301
50195,1.7299966
50196,2.3338974
50197,1.6722345
50198,1.8900068
50199,2.5478168
50200,1.6817273
50201,2.5926232
50202,1.6092935
50203,1.9113907
50204,1.6900631
50205,1.8052772
50206,1.713411
50207,2.121553
50208,1.9314984
50209,1.7880113
50210,1.9338291
50211,1.4948673
50212,1.6793133
50213,2.4159942
50214,2.0977178
50215,1.6518215
50216,1.541809
50217,1.7518224
50218,1.7822732
50219,2.0330007
50220,2.373167
50221,2.0304828
50222,1.9087193
50223,1.7499511
50224,1.9447613
50225,2.150197
50226,1.8891723
50227,2.1067743
50228,1.6415344
50229,2.0586138
50230,1.7996242
50231,1.6542011
50232,2.281121
